rho,seed,context_split,gamma,reward,spent_ratio,tau
0.7,10123,train,3.0,206.0,0.6564844931874957,5000
0.7,10124,train,3.0,219.0,0.6564844931874957,5000
0.7,10125,train,3.0,246.0,0.6564844931874957,5000
0.7,10126,train,3.0,235.0,0.6564844931874957,5000
0.7,10127,train,3.0,247.0,0.6564844931874957,5000
0.7,10128,train,3.0,191.0,0.6564844931874957,5000
0.7,10129,train,3.0,235.0,0.6564844931874957,5000
0.7,10130,train,3.0,242.0,0.6564844931874957,5000
0.7,10131,train,3.0,211.0,0.6564844931874957,5000
0.7,10132,train,3.0,223.0,0.6564844931874957,5000
0.7,10123,train,5.0,195.0,0.6564844931874957,5000
0.7,10124,train,5.0,221.0,0.6564844931874957,5000
0.7,10125,train,5.0,223.0,0.6564844931874957,5000
0.7,10126,train,5.0,194.0,0.6564844931874957,5000
0.7,10127,train,5.0,209.0,0.6564844931874957,5000
0.7,10128,train,5.0,223.0,0.6564844931874957,5000
0.7,10129,train,5.0,227.0,0.6564844931874957,5000
0.7,10130,train,5.0,221.0,0.6564844931874957,5000
0.7,10131,train,5.0,229.0,0.6564844931874957,5000
0.7,10132,train,5.0,211.0,0.6564844931874957,5000
0.7,10123,train,10.0,213.0,0.6564844931874957,5000
0.7,10124,train,10.0,228.0,0.6564844931874957,5000
0.7,10125,train,10.0,213.0,0.6564844931874957,5000
0.7,10126,train,10.0,216.0,0.6564844931874957,5000
0.7,10127,train,10.0,224.0,0.6564844931874957,5000
0.7,10128,train,10.0,219.0,0.6564844931874957,5000
0.7,10129,train,10.0,235.0,0.6564844931874957,5000
0.7,10130,train,10.0,215.0,0.6564844931874957,5000
0.7,10131,train,10.0,238.0,0.6564844931874957,5000
0.7,10132,train,10.0,225.0,0.6564844931874957,5000
0.85,10123,train,0.0,200.0,0.9952620560842402,5000
0.85,10124,train,0.0,202.0,0.9999889961060355,4938
0.85,10125,train,0.0,215.0,0.9931287309422212,5000
0.85,10126,train,0.0,203.0,0.9999696877072839,4655
0.85,10127,train,0.0,211.0,0.9999600972778657,4987
0.85,10128,train,0.0,228.0,0.9658835247684927,5000
0.85,10129,train,0.0,208.0,0.9432545694743886,5000
0.85,10130,train,0.0,227.0,0.9496050539156969,5000
0.85,10131,train,0.0,212.0,0.9707903662849875,5000
0.85,10132,train,0.0,187.0,0.9999146374604281,4606
0.85,10123,train,0.1,205.0,0.54226368422368,5000
0.85,10124,train,0.1,220.0,0.5423648512153064,5000
0.85,10125,train,0.1,245.0,0.5427183141427881,5000
0.85,10126,train,0.1,206.0,0.5420793342379963,5000
0.85,10127,train,0.1,215.0,0.5412085269759683,5000
0.85,10128,train,0.1,225.0,0.5428721244475421,5000
0.85,10129,train,0.1,236.0,0.542870554987122,5000
0.85,10130,train,0.1,250.0,0.5427041234058493,5000
0.85,10131,train,0.1,217.0,0.5432798657417297,5000
0.85,10132,train,0.1,221.0,0.5431255322835025,5000
0.85,10123,train,0.3,213.0,0.5406342885073494,5000
0.85,10124,train,0.3,212.0,0.5406722179300645,5000
0.85,10125,train,0.3,193.0,0.5406437708630282,5000
0.85,10126,train,0.3,230.0,0.5406342885073494,5000
0.85,10127,train,0.3,229.0,0.5406722179300645,5000
0.85,10128,train,0.3,242.0,0.5406437708630282,5000
0.85,10129,train,0.3,227.0,0.5406342885073494,5000
0.85,10130,train,0.3,225.0,0.5406437708630282,5000
0.85,10131,train,0.3,235.0,0.5407101473527796,5000
0.85,10132,train,0.3,212.0,0.5406532532187069,5000
0.85,10123,train,1.0,192.0,0.5406342885073494,5000
0.85,10124,train,1.0,242.0,0.5406342885073494,5000
0.85,10125,train,1.0,191.0,0.5406342885073494,5000
0.85,10126,train,1.0,213.0,0.5406342885073494,5000
0.85,10127,train,1.0,235.0,0.5406342885073494,5000
0.85,10128,train,1.0,222.0,0.5406342885073494,5000
