rho,seed,context_split,gamma,reward,spent_ratio,tau
0.55,10128,train,0.0,165.0,0.9999905132055282,2856
0.55,10129,train,0.0,141.0,0.9998862482851202,2881
0.55,10130,train,0.0,138.0,0.9999676385467703,2852
0.55,10131,train,0.0,136.0,0.9999104499275034,2863
0.55,10132,train,0.0,175.0,0.9999288587353447,2878
0.55,10123,train,0.1,151.0,0.9999274645718661,2904
0.55,10124,train,0.1,139.0,0.9999037419991059,2897
0.55,10125,train,0.1,172.0,0.9999260921695016,2879
0.55,10126,train,0.1,153.0,0.9998550303307446,2890
0.55,10127,train,0.1,163.0,0.999911766832525,2898
0.55,10128,train,0.1,138.0,0.999968701416796,2882
0.55,10129,train,0.1,144.0,0.9998491536487233,2904
0.55,10130,train,0.1,143.0,0.999849846070463,2901
0.55,10131,train,0.1,139.0,0.9999342897480185,2897
0.55,10132,train,0.1,158.0,0.9998987513672222,2891
0.55,10123,train,0.3,145.0,0.9998400522795591,2960
0.55,10124,train,0.3,148.0,0.9999036850387399,2956
0.55,10125,train,0.3,191.0,0.999899176738479,2973
0.55,10126,train,0.3,153.0,0.9999893360137939,2961
0.55,10127,train,0.3,149.0,0.999999504587867,2971
0.55,10128,train,0.3,151.0,0.9999270952723243,2955
0.55,10129,train,0.3,122.0,0.9998879248554057,2957
0.55,10130,train,0.3,175.0,0.9999782256754962,2952
0.55,10131,train,0.3,163.0,0.9998888229348443,2955
0.55,10132,train,0.3,157.0,0.99986425400864,2944
0.55,10123,train,1.0,174.0,0.9998994463031943,3187
0.55,10124,train,1.0,144.0,0.9998759827180342,3175
0.55,10125,train,1.0,170.0,0.9998565909103914,3184
0.55,10126,train,1.0,160.0,0.999996516531164,3162
0.55,10127,train,1.0,177.0,0.9998332436951723,3186
0.55,10128,train,1.0,152.0,0.9999639657952569,3173
0.55,10129,train,1.0,177.0,0.9998467379374938,3160
0.55,10130,train,1.0,150.0,0.9999875889257951,3149
0.55,10131,train,1.0,164.0,0.9998374538963491,3173
0.55,10132,train,1.0,148.0,0.9999296233870766,3168
0.55,10123,train,2.0,184.0,0.999999532287771,3532
0.55,10124,train,2.0,203.0,0.9999971736019307,3536
